date,tmax,tmin,tmed
01/1887,12.4,7,9.7
02/1887,13.6,6.2,9.9
03/1887,16.3,10.4,13.35
04/1887,17.1,9.8,13.45
05/1887,20.4,13.2,16.8
06/1887,26.4,18,22.2
07/1887,27.4,18,22.7
08/1887,26.8,18.2,22.5
09/1887,23.4,15.9,19.65
10/1887,19.4,11.7,15.55
11/1887,15.7,11,13.35
12/1887,13,7.4,10.2
01/1888,13,6.7,9.85
02/1888,11.7,4.9,8.3
03/1888,13.4,8.7,11.05
04/1888,16.2,9.5,12.85
05/1888,22,13.8,17.9
06/1888,22.8,14.9,18.85
07/1888,24.2,16.1,20.15
08/1888,27.1,17.1,22.1
09/1888,24.7,17.4,21.05
10/1888,20.8,13.8,17.3
11/1888,16.7,10.5,13.6
12/1888,14.2,8.9,11.55
01/1889,12.5,6.3,9.4
02/1889,14.3,7.6,10.95
03/1889,15.2,8.4,11.8
04/1889,15.5,9.3,12.4
05/1889,17.7,11.4,14.55
06/1889,20.9,14.1,17.5
07/1889,24.4,16.7,20.55
08/1889,25.7,16.7,21.2
09/1889,25.8,17,21.4
10/1889,18.7,12.8,15.75
11/1889,16.8,10.9,13.85
12/1889,12.8,6,9.4
01/1890,14,8.1,11.05
02/1890,13.4,6.6,10
03/1890,14.8,7.7,11.25
04/1890,17,10.4,13.7
05/1890,17.6,11.6,14.6
06/1890,26.3,16.1,21.2
07/1890,25.8,16.2,21
08/1890,24.7,16.2,20.45
09/1890,25.4,16.8,21.1
10/1890,22.7,14,18.35
11/1890,16.6,9.7,13.15
12/1890,12.2,7.3,9.75
01/1891,11.3,5.4,8.35
02/1891,15.6,6.9,11.25
03/1891,15.1,8.7,11.9
04/1891,17.5,11.4,14.45
05/1891,18.4,12.2,15.3
06/1891,23.4,15.9,19.65
07/1891,25.9,17.1,21.5
08/1891,26,16.5,21.25
09/1891,24.6,16,20.3
10/1891,19.4,14.1,16.75
11/1891,16,11.1,13.55
12/1891,13.5,8.6,11.05
01/1892,13,7.2,10.1
02/1892,14.4,8.3,11.35
03/1892,15.4,10,12.7
04/1892,18,11.2,14.6
05/1892,21.4,14,17.7
06/1892,23.8,15.8,19.8
07/1892,25.4,17.4,21.4
08/1892,27.8,17.6,22.7
09/1892,25.6,17,21.3
10/1892,18.6,13,15.8
11/1892,17.1,11.7,14.4
12/1892,13.6,7.3,10.45
01/1893,13.1,6.6,9.85
02/1893,14.7,9.2,11.95
03/1893,18.7,11.8,15.25
04/1893,18.8,12.4,15.6
05/1893,21.6,14.9,18.25
06/1893,24.6,16.8,20.7
07/1893,27.8,18.6,23.2
08/1893,28.3,18.4,23.35
09/1893,23.8,17.1,20.45
10/1893,22.4,14.4,18.4
11/1893,16.3,10.8,13.55
12/1893,13.4,7.9,10.65
01/1894,12.6,7.4,10
02/1894,14.6,7.4,11
03/1894,16,9.1,12.55
04/1894,15.8,10.7,13.25
05/1894,18.9,11.9,15.4
06/1894,24.6,15.6,20.1
07/1894,26.3,16.7,21.5
08/1894,27.1,17.9,22.5
09/1894,23.5,16.4,19.95
10/1894,20.9,15.1,18
11/1894,16.9,10.9,13.9
12/1894,14,8.7,11.35
01/1895,12.2,7.1,9.65
02/1895,14.9,10.7,12.8
