date,tmax,tmin,tmed
07/1941,27.7,17.7,22.7
08/1941,29.6,17.2,23.4
09/1941,28,17.6,22.8
10/1941,25.3,14.7,20
11/1941,17.1,9.6,13.35
12/1941,13,6.1,9.55
01/1942,14,7.7,10.85
02/1942,14.4,5.8,10.1
03/1942,16.9,11,13.95
04/1942,18.3,11,14.65
05/1942,21.2,13.1,17.15
06/1942,25.2,15.8,20.5
07/1942,28.4,17.3,22.85
08/1942,27.1,16.8,21.95
09/1942,26.5,16.7,21.6
10/1942,23.5,14.8,19.15
11/1942,17.2,10.6,13.9
12/1942,15.5,9.2,12.35
01/1943,15.6,9.8,12.7
02/1943,15.8,8.2,12
03/1943,18.2,10.2,14.2
04/1943,22.8,13.1,17.95
05/1943,24.9,14,19.45
06/1943,27.7,16.2,21.95
07/1943,27.2,17.3,22.25
08/1943,30.5,18,24.25
09/1943,23.9,15.5,19.7
10/1943,21.7,13.5,17.6
11/1943,17,9.2,13.1
12/1943,14,7.9,10.95
01/1944,14.8,6.1,10.45
02/1944,15.2,6.3,10.75
03/1944,18.4,8.7,13.55
04/1944,21.7,12.4,17.05
05/1944,25,14.1,19.55
06/1944,26.8,16.9,21.85
07/1944,28.2,17,22.6
08/1944,27.8,17.9,22.85
09/1944,27.1,16.6,21.85
10/1944,20.9,12.5,16.7
11/1944,18.1,10.1,14.1
12/1944,14,7.4,10.7
01/1945,11.8,5.1,8.45
02/1945,17.4,8.4,12.9
03/1945,21.1,9.8,15.45
04/1945,24,13.5,18.75
05/1945,22.2,13,17.6
06/1945,27.1,16.7,21.9
07/1945,27.6,16.4,22
08/1945,27.3,16.3,21.8
09/1945,28,16.3,22.15
10/1945,24.8,15.3,20.05
11/1945,19.6,13,16.3
12/1945,16,9.5,12.75
01/1946,13.6,6.8,10.2
02/1946,17.1,8.5,12.8
03/1946,16.9,9,12.95
04/1946,19.2,11.4,15.3
05/1946,18.8,11.5,15.15
06/1946,24.9,14.5,19.7
07/1946,30.3,17.7,24
08/1946,27,16.3,21.65
09/1946,26.6,15.4,21
10/1946,23,14.8,18.9
11/1946,18.4,11.2,14.8
12/1946,14.8,8.1,11.45
01/1947,13.6,6.4,10
02/1947,14.3,9,11.65
03/1947,17.2,10.6,13.9
04/1947,22.8,11.6,17.2
05/1947,21.3,11.6,16.45
06/1947,25.4,14.9,20.15
07/1947,28.2,16.3,22.25
08/1947,28.9,18.2,23.55
09/1947,27,16.9,21.95
10/1947,24.7,15.5,20.1
11/1947,21.4,12,16.7
12/1947,15,7.8,11.4
01/1948,15.7,9.1,12.4
02/1948,17.3,8.9,13.1
03/1948,21.6,11.6,16.6
04/1948,19.5,11,15.25
05/1948,20.8,12.6,16.7
06/1948,27.5,16.6,22.05
07/1948,28.5,16.7,22.6
08/1948,28.5,17.5,23
09/1948,28.1,17.4,22.75
10/1948,24.6,15.4,20
11/1948,21,12.3,16.65
12/1948,16.5,10.3,13.4
01/1949,15.9,7.7,11.8
02/1949,18.1,8.7,13.4
03/1949,18.6,10.2,14.4
04/1949,23,13.2,18.1
05/1949,22.2,12.6,17.4
06/1949,27,15.9,21.45
07/1949,29.7,18.5,24.1
08/1949,31.1,19.4,25.25
09/1949,25.3,17.5,21.4
10/1949,23.9,15.3,19.6
11/1949,19,12.1,15.55
12/1949,14.9,9.1,12
01/1950,14.55,7.13,10.84
02/1950,16.88,8.55,12.72
03/1950,18.68,10.27,14.48
04/1950,20.54,11.35,15.94
05/1950,21.64,12.82,17.23
06/1950,25.4,15.75,20.57
07/1950,28.38,17.79,23.09
08/1950,27.64,16.92,22.28
09/1950,26.64,16.11,21.38
10/1950,22.98,14.24,18.61
11/1950,19.67,12.4,16.04
12/1950,13.79,8.03,10.91
01/1951,14.79,8.04,11.42
02/1951,14.11,8.29,11.2
03/1951,17.04,9.56,13.3
04/1951,19.87,10.85,15.36
05/1951,19.76,11.62,15.69
06/1951,25.9,15.19,20.55
07/1951,26.8,17.01,21.9
08/1951,26.93,16.75,21.84
09/1951,27.72,16.8,22.26
10/1951,22.61,13.65,18.13
11/1951,16.91,10.75,13.83
12/1951,15.59,9.41,12.5
01/1952,13.34,6.48,9.91
02/1952,15.94,7.97,11.96
03/1952,19.1,10.95,15.03
04/1952,19.07,10.97,15.02
05/1952,21.94,13.61,17.77
06/1952,25.99,16.14,21.06
07/1952,27.48,16.8,22.14
08/1952,27.39,16.89,22.14
09/1952,25.4,14.7,20.05
10/1952,22.33,13.94,18.14
11/1952,19.26,10.93,15.1
12/1952,15.91,9.01,12.46
01/1953,13.89,6.91,10.4
02/1953,14.99,7.53,11.26
03/1953,18.72,9.32,14.02
04/1953,19.81,11.03,15.42
05/1953,25.14,14.86,20
06/1953,23.92,14.75,19.33
07/1953,28.32,16.65,22.48
08/1953,30.06,18.48,24.27
09/1953,27.47,17.66,22.56
10/1953,22.02,13.69,17.86
11/1953,19.11,12.16,15.64
12/1953,16.24,10.41,13.33
01/1954,12.76,6.25,9.51
02/1954,14.14,7.13,10.63
03/1954,16.47,9.29,12.88
04/1954,19.3,10.92,15.11
05/1954,22.77,12.84,17.8
06/1954,24,14.18,19.09
07/1954,27.67,16.41,22.04
08/1954,26.47,16.15,21.31
09/1954,26.05,16.03,21.04
10/1954,24.88,15.74,20.31
11/1954,19.09,12.89,15.99
12/1954,15.11,8.46,11.79
01/1955,16.49,11.5,14
02/1955,16.32,8.98,12.65
03/1955,16.81,9.33,13.07
04/1955,22.59,12.76,17.67
05/1955,23.98,14.15,19.06
06/1955,26.29,15.75,21.02
07/1955,26.62,16.73,21.67
08/1955,28.28,17.54,22.91
09/1955,28.29,17.4,22.84
10/1955,23.32,14.55,18.94
11/1955,17.58,11.75,14.66
12/1955,17.09,10.48,13.78
01/1956,15.03,8.66,11.85
02/1956,11.69,3.8,7.75
03/1956,16.67,8.63,12.65
04/1956,18.11,11.17,14.64
05/1956,23.24,13.95,18.6
06/1956,25.7,15.84,20.77
07/1956,27.37,16.44,21.9
08/1956,26.18,16.17,21.18
09/1956,23.91,14.87,19.39
10/1956,22.37,14.63,18.5
11/1956,16.11,8.65,12.38
12/1956,13.89,6.08,9.98
01/1957,13.24,5.35,9.29
02/1957,15.76,9.16,12.46
03/1957,18.75,10.89,14.82
04/1957,19.66,10.42,15.04
05/1957,21.1,12.34,16.72
06/1957,24.39,14.66,19.52
07/1957,28.72,17.94,23.33
08/1957,28.8,17.47,23.14
09/1957,27.38,17.11,22.24
10/1957,22.68,13.11,17.89
11/1957,17.41,10.08,13.74
12/1957,13.56,6.39,9.97
01/1958,14.66,8.68,11.67
02/1958,16.44,10.34,13.39
03/1958,17.03,10.15,13.59
04/1958,19.75,10.49,15.12
05/1958,22.25,13.21,17.73
06/1958,23.75,15.17,19.46
07/1958,28.1,16.36,22.23
08/1958,26.97,16.63,21.8
09/1958,25.82,16.84,21.33
10/1958,23.79,14.69,19.24
11/1958,18.26,10.49,14.38
12/1958,15.35,9.84,12.59
01/1959,15.46,9.91,12.68
02/1959,15.45,7.68,11.57
03/1959,16.8,10.19,13.5
04/1959,18.91,11.6,15.26
05/1959,21.45,13.13,17.29
06/1959,25.15,15.6,20.37
07/1959,27.99,17.32,22.65
08/1959,28.24,17.84,23.04
09/1959,25.99,16.9,21.44
10/1959,22.12,14.26,18.19
11/1959,17.56,10.78,14.17
12/1959,14.75,9.61,12.18
01/1960,14.19,8.65,11.42
02/1960,15.71,9.61,12.66
03/1960,17.4,10.34,13.87
04/1960,20.53,12.11,16.32
05/1960,22.15,13.54,17.84
06/1960,25.57,16.33,20.95
07/1960,27.32,17.27,22.29
08/1960,26.74,16.45,21.6
09/1960,26.45,16.2,21.32
10/1960,20.3,13.15,16.73
11/1960,17.5,11.92,14.71
12/1960,14.21,8.4,11.3
01/1961,13.65,7.63,10.64
02/1961,17.42,9.82,13.62
03/1961,21.61,11.15,16.38
04/1961,19.63,11.52,15.58
05/1961,24.57,15.12,19.84
06/1961,26.08,16.23,21.16
07/1961,28.46,17.78,23.12
08/1961,31.3,19.11,25.21
09/1961,25.88,16.39,21.13
10/1961,21.07,13.74,17.4
11/1961,17.15,10.94,14.05
12/1961,15.71,10.59,13.15
01/1962,14.76,8.08,11.42
02/1962,15.78,7.3,11.54
03/1962,16.07,10.47,13.27
04/1962,19.57,11.28,15.43
05/1962,22.25,12.96,17.61
06/1962,26.63,16.68,21.66
07/1962,27.13,16.32,21.73
08/1962,28.99,17.56,23.28
09/1962,26.2,17.04,21.62
10/1962,23.49,16.03,19.76
11/1962,16.34,9.57,12.95
12/1962,13.44,7.55,10.5
01/1963,14.02,8.77,11.39
02/1963,14.39,7.86,11.13
03/1963,16.55,9.74,13.14
04/1963,19.68,11.43,15.55
05/1963,22.81,13.25,18.03
06/1963,23.29,14.7,19
07/1963,27.84,17.25,22.55
08/1963,25.95,16.26,21.11
09/1963,25.2,15.71,20.45
10/1963,24.74,14.57,19.65
11/1963,17.79,12.35,15.07
12/1963,14.07,8.35,11.21
01/1964,14.4,7.81,11.11
02/1964,15.75,9.33,12.54
03/1964,15.89,9.5,12.7
04/1964,19.3,10.45,14.88
05/1964,24.12,14.06,19.09
06/1964,25.62,16.13,20.88
07/1964,26.94,16.93,21.93
08/1964,28.75,18.09,23.42
09/1964,28.29,18.58,23.44
10/1964,22.45,14,18.23
11/1964,18.02,10.31,14.17
12/1964,13.35,6.27,9.81
01/1965,14.29,7.91,11.1
02/1965,14.01,6.74,10.38
03/1965,17.6,10.46,14.03
04/1965,20.21,11.55,15.88
05/1965,25.22,13.97,19.6
06/1965,26.11,15.88,20.99
07/1965,25.73,15.88,20.8
08/1965,28.68,17.4,23.04
09/1965,24.24,15.04,19.64
10/1965,21.38,15.09,18.23
11/1965,16.78,10.7,13.74
12/1965,14.71,9.52,12.11
01/1966,15.88,11.17,13.52
02/1966,16.17,10.43,13.3
03/1966,18.57,9.49,14.03
04/1966,19.05,11.86,15.46
05/1966,24.39,13.6,19
06/1966,25.1,16,20.55
07/1966,26.8,17.21,22.01
08/1966,27.65,16.75,22.2
09/1966,28.2,17.99,23.1
10/1966,20.13,13.58,16.86
11/1966,15.21,9,12.1
12/1966,14.52,7.95,11.24
01/1967,14.19,7.02,10.6
02/1967,15.41,8.69,12.05
03/1967,19.58,10.85,15.21
04/1967,19.61,10.7,15.15
05/1967,20.35,11.62,15.99
06/1967,26.45,15.81,21.13
07/1967,26.91,16.22,21.56
08/1967,27.26,16.69,21.98
09/1967,25.24,16.38,20.81
10/1967,22.99,14.45,18.72
11/1967,16.73,10.55,13.64
12/1967,13.76,7.47,10.61
01/1968,15.36,7.49,11.43
02/1968,15.46,9.21,12.33
03/1968,16.43,9.13,12.78
04/1968,18.08,10.49,14.29
05/1968,21.96,12.88,17.42
06/1968,25.51,15.05,20.28
07/1968,27.92,17.74,22.83
08/1968,27.85,17.45,22.65
09/1968,25.23,16.36,20.79
10/1968,24.55,15.78,20.17
11/1968,18.57,12.03,15.3
12/1968,15.03,9.11,12.07
01/1969,14.78,9.11,11.95
02/1969,13.73,7.68,10.71
03/1969,16.74,10.3,13.52
04/1969,18.83,10.4,14.61
05/1969,20.2,12.38,16.29
06/1969,23.8,15.28,19.54
07/1969,29.75,17.96,23.85
08/1969,28.94,18.44,23.69
09/1969,23.45,15.44,19.44
10/1969,22.46,15.05,18.76
11/1969,16.79,9.61,13.2
12/1969,14.36,8.1,11.23
01/1970,14.68,9.85,12.27
02/1970,15.68,8.23,11.95
03/1970,16.27,8.25,12.26
04/1970,20.06,10.36,15.21
05/1970,22.83,13.66,18.25
06/1970,23.3,15.13,19.21
07/1970,27.71,17.18,22.45
08/1970,26.73,16.68,21.7
09/1970,27.78,17.14,22.46
10/1970,23.82,14.16,18.99
11/1970,21.02,13.1,17.06
12/1970,11.83,5.05,8.44
01/1971,13.7,7.61,10.65
02/1971,17.14,8.97,13.05
03/1971,16.05,8.11,12.08
04/1971,17.9,10.52,14.21
05/1971,19.01,11.69,15.35
06/1971,23,13.95,18.48
07/1971,26.5,17.78,22.14
08/1971,25.92,16.34,21.13
09/1971,26.57,16.81,21.69
10/1971,25.39,15.77,20.58
11/1971,17.37,9.55,13.46
12/1971,15.36,8.28,11.82
01/1972,13.86,7.53,10.69
02/1972,14.84,8.65,11.74
03/1972,15.65,8.64,12.14
04/1972,19.88,11.1,15.49
05/1972,20.07,11.07,15.57
06/1972,21.6,12.75,17.18
07/1972,25.97,16.84,21.41
08/1972,26.49,17.14,21.81
09/1972,23.73,15.45,19.59
10/1972,20.5,13.3,16.9
11/1972,17.41,11.67,14.54
12/1972,14.18,8.85,11.51
01/1973,13.82,7.23,10.52
02/1973,15.07,8.19,11.63
03/1973,17.59,9.27,13.43
04/1973,20.76,11.41,16.09
05/1973,21.39,13.32,17.36
06/1973,25.74,16.14,20.94
07/1973,25.77,16.61,21.19
08/1973,28.66,17.82,23.24
09/1973,24.98,16.81,20.89
10/1973,22.04,14.53,18.28
11/1973,18.29,11.37,14.83
12/1973,14.35,7.47,10.91
01/1974,15.58,9.83,12.7
02/1974,15.41,8.54,11.97
03/1974,16.43,9.16,12.8
04/1974,17.63,9.91,13.77
05/1974,22.14,13.08,17.61
06/1974,24.01,15.41,19.71
07/1974,29.72,18.65,24.19
08/1974,28.21,17.09,22.65
09/1974,24.53,15.17,19.85
10/1974,20.31,11.92,16.11
11/1974,17.94,10.7,14.32
12/1974,15.13,8.21,11.67
01/1975,14.87,8.55,11.71
02/1975,16.14,10.15,13.14
03/1975,15.79,8.78,12.28
04/1975,19.16,10.41,14.79
05/1975,20.62,12.95,16.78
06/1975,24.1,14.83,19.46
07/1975,27.84,17.02,22.43
08/1975,28.5,18.58,23.54
09/1975,24.29,15.92,20.1
10/1975,23,14.7,18.85
11/1975,18.46,11.11,14.78
12/1975,12.99,6.86,9.92
01/1976,13.83,6.04,9.93
02/1976,16.16,9.16,12.66
03/1976,18.3,9.7,14
04/1976,17.53,10.29,13.91
05/1976,22.11,12.77,17.44
06/1976,28.13,16.97,22.55
07/1976,27.95,18.02,22.99
08/1976,28.23,18.5,23.36
09/1976,24.47,15.93,20.2
10/1976,20.56,13.55,17.05
11/1976,15.99,9.13,12.56
12/1976,15.02,10.1,12.56
01/1977,13.86,8.74,11.3
02/1977,15.49,10.05,12.77
03/1977,18.34,10.46,14.4
04/1977,19.93,11.71,15.82
05/1977,21.06,12.1,16.58
06/1977,22.64,13.32,17.98
07/1977,25.46,15.92,20.69
08/1977,26.22,16.15,21.18
09/1977,27.52,17.58,22.55
10/1977,21.84,14.17,18.01
11/1977,17.68,11.02,14.35
12/1977,16.5,11.24,13.87
01/1978,14.23,8.66,11.45
02/1978,15.75,9.93,12.84
03/1978,17.78,9.19,13.49
04/1978,17.28,10.15,13.71
05/1978,20.63,12.3,16.46
06/1978,22.52,13.91,18.21
07/1978,28.32,16.6,22.46
08/1978,28.07,16.83,22.45
09/1978,29.24,18.69,23.96
10/1978,22.92,14.22,18.57
11/1978,18.03,11.53,14.78
12/1978,16.21,11.65,13.93
01/1979,14.74,9.25,12
02/1979,15.03,9.98,12.51
03/1979,15.57,8.88,12.23
04/1979,18.75,10.6,14.68
05/1979,21.89,12.73,17.31
06/1979,25.37,15.58,20.47
07/1979,27.36,17.81,22.59
08/1979,27.95,17.46,22.71
09/1979,26.02,16.32,21.17
10/1979,19.73,13.72,16.72
11/1979,17.87,10.25,14.06
12/1979,15.59,9.72,12.66
01/1980,14.94,8.17,11.55
02/1980,16.76,9.42,13.09
03/1980,17.07,9.98,13.52
04/1980,21.13,12.26,16.69
05/1980,20.88,13.01,16.94
06/1980,24.56,15.05,19.8
07/1980,27.47,16.54,22
08/1980,28.25,18.31,23.28
09/1980,28.04,17.21,22.63
10/1980,22.66,14.35,18.51
11/1980,16.92,10.5,13.71
12/1980,14.63,7.35,10.99
01/1981,15.59,7.83,11.71
02/1981,15.98,7.52,11.75
03/1981,17.97,11.17,14.57
04/1981,18.29,10.96,14.62
05/1981,20.32,12.37,16.34
06/1981,26.74,17.57,22.15
07/1981,28.66,18.42,23.54
08/1981,27.82,17.75,22.78
09/1981,26.16,17.56,21.86
10/1981,22.83,15.15,18.99
11/1981,21.51,13.25,17.38
12/1981,16.87,11.12,14
01/1982,15.63,9.22,12.43
02/1982,16.32,9.76,13.04
03/1982,18.71,10.51,14.61
04/1982,20.54,12.36,16.45
05/1982,22.43,13.58,18
06/1982,24.83,15.66,20.25
07/1982,24.68,16.57,20.63
08/1982,28.27,18.11,23.19
09/1982,26.57,17.9,22.23
10/1982,21.44,13.63,17.53
11/1982,17.06,11.13,14.09
12/1982,14.39,8.72,11.56
01/1983,14.59,6.81,10.7
02/1983,14.02,7.78,10.9
03/1983,19.81,11.54,15.67
04/1983,18.08,10.84,14.46
05/1983,19.52,11.92,15.72
06/1983,25.74,16.92,21.33
07/1983,24.75,17.23,20.99
08/1983,26.85,17.97,22.41
09/1983,28.18,17.69,22.93
10/1983,24.06,15.66,19.86
11/1983,19.26,13.87,16.56
12/1983,15.46,9.07,12.27
01/1984,14.37,8.06,11.22
02/1984,15.41,8.03,11.72
03/1984,16.09,8.54,12.31
04/1984,21.36,13.43,17.4
05/1984,18.54,11.12,14.83
06/1984,24.42,15.74,20.08
07/1984,27.22,16.49,21.86
08/1984,28.4,17.73,23.06
09/1984,26.93,16.72,21.83
10/1984,22.33,13.49,17.91
11/1984,17.62,11.77,14.69
12/1984,15.63,9.73,12.68
01/1985,13.41,6.15,9.78
02/1985,16.42,10.69,13.55
03/1985,17.05,9.68,13.37
04/1985,19.4,12.05,15.73
05/1985,19.62,12.65,16.13
06/1985,24.6,15.92,20.26
07/1985,26.99,17.84,22.41
08/1985,28.02,17.46,22.74
09/1985,28.66,18.7,23.68
10/1985,24.79,15.93,20.36
11/1985,17.36,11.3,14.33
12/1985,15.45,9.01,12.23
01/1986,14.65,8.25,11.45
02/1986,14.8,9.03,11.91
03/1986,17.13,9.37,13.25
04/1986,16.71,9.13,12.92
05/1986,22.74,13.58,18.16
06/1986,25.3,15.82,20.56
07/1986,28.7,18.19,23.45
08/1986,26.51,17.17,21.84
09/1986,25.9,18.28,22.09
10/1986,23.47,16.05,19.76
11/1986,18.09,11,14.55
12/1986,15.24,8.5,11.87
01/1987,14.3,7.97,11.14
02/1987,15.33,8.78,12.05
03/1987,19.47,11.56,15.52
04/1987,19.95,12.45,16.2
05/1987,23.01,14.1,18.55
06/1987,26.27,16.32,21.3
07/1987,28.67,18.53,23.6
08/1987,28.55,18.94,23.74
09/1987,28.44,19.85,24.15
10/1987,19.55,14.07,16.81
11/1987,17.47,11.67,14.57
12/1987,15.72,11.05,13.38
01/1988,15.29,9.46,12.38
02/1988,15.16,8.8,11.98
03/1988,18.96,10.43,14.7
04/1988,18.66,11.99,15.32
05/1988,20.45,13.37,16.91
06/1988,22.9,15.94,19.42
07/1988,26.53,17.4,21.96
08/1988,27.59,17.63,22.61
09/1988,28.75,18.15,23.45
10/1988,22.92,14.97,18.95
11/1988,17.89,12.54,15.21
12/1988,14.44,7.84,11.14
01/1989,14.31,7.25,10.78
02/1989,16.57,9.53,13.05
03/1989,19.02,11.08,15.05
04/1989,17.14,10.57,13.86
05/1989,23.18,14.7,18.94
06/1989,26.08,17.1,21.59
07/1989,30.16,20.01,25.09
08/1989,27.29,19.5,23.39
09/1989,26.4,16.78,21.59
10/1989,24.22,16.42,20.32
11/1989,18.2,12.89,15.54
12/1989,16.26,12.38,14.32
01/1990,14.01,8.38,11.2
02/1990,17.9,10.93,14.42
03/1990,19.65,11.54,15.59
04/1990,18.16,11.25,14.71
05/1990,23.75,15.38,19.57
06/1990,24.42,16.33,20.38
07/1990,29.16,19.52,24.34
08/1990,29.42,18.74,24.08
09/1990,26.33,17.86,22.1
10/1990,21.57,15.3,18.44
11/1990,17.74,10.57,14.16
12/1990,13.38,8.48,10.93
01/1991,14.05,7.53,10.79
02/1991,14.48,7.74,11.11
03/1991,16.74,10.72,13.73
04/1991,19.16,10.95,15.05
05/1991,23.97,14.78,19.38
06/1991,25.53,16.07,20.8
07/1991,28.72,18.75,23.73
08/1991,29.54,19.85,24.7
09/1991,27.48,18.55,23.02
10/1991,20.65,13.33,16.99
11/1991,17.49,11.29,14.39
12/1991,14.74,8.6,11.67
01/1992,13.2,6.03,9.61
02/1992,15.74,7.81,11.77
03/1992,19.62,10.99,15.31
04/1992,20.53,12.03,16.28
05/1992,23.66,14.96,19.31
06/1992,22.62,14.87,18.74
07/1992,28.45,17.99,23.22
08/1992,28.9,19.14,24.02
09/1992,25.64,16.16,20.9
10/1992,19.6,13.05,16.32
11/1992,18.66,12.43,15.55
12/1992,14.95,10.16,12.56
01/1993,14.29,7.17,10.73
02/1993,16.04,8.98,12.51
03/1993,17.83,10.14,13.99
04/1993,18.1,11.16,14.63
05/1993,19.4,13.11,16.25
06/1993,24.82,16.87,20.84
07/1993,28.33,18.82,23.58
08/1993,27.25,18.2,22.73
09/1993,22.65,16.13,19.39
10/1993,19.01,12.95,15.98
11/1993,16.38,10.86,13.62
12/1993,14.91,9.95,12.43
01/1994,14.61,8.84,11.72
02/1994,15.2,8.18,11.69
03/1994,20.32,11.83,16.07
04/1994,19.54,11.59,15.57
05/1994,19.96,13.42,16.69
06/1994,25.8,17.3,21.55
07/1994,26.1,17.58,21.84
08/1994,27.04,18.65,22.84
09/1994,25.09,16.96,21.02
10/1994,21.85,15.69,18.77
11/1994,18.31,12.17,15.24
12/1994,15.93,10.42,13.17
01/1995,15.69,9.77,12.73
02/1995,16.68,10.32,13.5
03/1995,19.73,11.29,15.51
04/1995,22.05,12.58,17.32
05/1995,23.5,15.35,19.42
06/1995,24.91,16.45,20.68
07/1995,28.18,18.97,23.58
08/1995,29.49,19.74,24.61
09/1995,24.9,16.81,20.85
10/1995,24.45,16.25,20.35
11/1995,19.47,13.94,16.7
12/1995,15.82,10.99,13.4
01/1996,14.98,10.17,12.58
02/1996,14.62,8.12,11.37
03/1996,17.41,10.54,13.97
04/1996,20.61,12.62,16.62
05/1996,21.47,13.25,17.36
06/1996,27.82,17.91,22.87
07/1996,28.09,18.71,23.4
08/1996,25.96,17.71,21.84
09/1996,24.88,16.82,20.85
10/1996,22.68,14.63,18.65
11/1996,17.94,11.82,14.88
12/1996,15.29,9.99,12.64
01/1997,14.7,8.55,11.62
02/1997,18.15,10.97,14.56
03/1997,23.68,13.22,18.45
04/1997,22.71,14.69,18.7
05/1997,21.33,14.46,17.9
06/1997,22.36,15.86,19.11
07/1997,27.26,18.57,22.92
08/1997,26.58,18.33,22.46
09/1997,27.84,17.94,22.89
10/1997,23.43,16.78,20.1
11/1997,18.97,12.97,15.97
12/1997,16.14,10.54,13.34
01/1998,15.92,9.64,12.78
02/1998,17.99,10.82,14.41
03/1998,21.11,11.94,16.52
04/1998,17.88,11.3,14.59
05/1998,20.9,13.67,17.29
06/1998,24.98,16.21,20.59
07/1998,27.68,17.98,22.83
08/1998,28.64,19,23.82
09/1998,25.06,18,21.53
10/1998,22.37,14.53,18.45
11/1998,19.04,12.37,15.7
12/1998,14.76,7.3,11.03
01/1999,15.01,7.65,11.33
02/1999,15.9,8.29,12.09
03/1999,18.41,11.22,14.81
04/1999,20.47,12.77,16.62
05/1999,21.73,14.59,18.16
06/1999,25.65,16.42,21.03
07/1999,28.09,18.45,23.27
08/1999,27,18.93,22.96
09/1999,24.65,17.78,21.22
10/1999,21.51,14.96,18.24
11/1999,16.89,10.3,13.59
12/1999,15.04,9.47,12.25
01/2000,13.5,5.84,9.67
02/2000,18.26,10.57,14.41
03/2000,19.96,11.66,15.81
04/2000,16.86,11.01,13.93
05/2000,22.2,14.35,18.28
06/2000,26.86,17.66,22.26
07/2000,27.18,18.2,22.69
08/2000,28.29,18.97,23.63
09/2000,26.56,17.21,21.88
10/2000,22.11,14.65,18.38
11/2000,17.24,11.41,14.32
12/2000,16.48,11.26,13.87
01/2001,15.78,10.05,12.91
02/2001,17.11,10.07,13.59
03/2001,17.98,12.54,15.26
04/2001,20.77,12.7,16.74
05/2001,22.88,13.91,18.39
06/2001,27.05,16.66,21.85
07/2001,26.92,17.59,22.26
08/2001,27.94,18.27,23.1
09/2001,26.6,17.33,21.96
10/2001,22.46,15.84,19.15
11/2001,16.91,10.43,13.67
12/2001,13.12,7.03,10.08
01/2002,15.9,9.39,12.65
02/2002,17.79,9.9,13.84
03/2002,19.51,11.1,15.3
04/2002,20.65,11.65,16.15
05/2002,21.66,13.17,17.42
06/2002,25.37,15.57,20.47
07/2002,27.6,17.46,22.53
08/2002,27.85,17.61,22.73
09/2002,24.05,17.26,20.66
10/2002,23.05,16.1,19.58
11/2002,18.63,12.36,15.49
12/2002,16.72,11.09,13.9
01/2003,15.32,8.45,11.88
02/2003,15.82,9.13,12.47
03/2003,19.05,11.49,15.27
04/2003,19.57,11.86,15.72
05/2003,24.82,15.05,19.93
06/2003,27.33,17.62,22.47
07/2003,28.09,17.77,22.93
08/2003,30.44,20.55,25.5
09/2003,28.13,18.7,23.41
10/2003,21.77,14.59,18.18
11/2003,18.34,12.52,15.43
12/2003,14.96,8.91,11.94
01/2004,16.21,9.97,13.09
02/2004,16.45,9.3,12.87
03/2004,17.69,9.6,13.65
04/2004,20.86,11.52,16.19
05/2004,22.77,13.96,18.37
06/2004,28.63,18.28,23.45
07/2004,29.14,18.6,23.87
08/2004,28.05,18.77,23.41
09/2004,27.3,17.7,22.5
10/2004,22.62,14.49,18.55
11/2004,18.01,10.52,14.27
12/2004,15.12,8.64,11.88
01/2005,14.72,6.68,10.7
02/2005,15.09,6.49,10.79
03/2005,18.57,10.23,14.4
04/2005,20.48,12.19,16.34
05/2005,23.61,14.6,19.1
06/2005,28.41,17.92,23.16
07/2005,28.2,17.96,23.08
08/2005,30.5,19.71,25.11
09/2005,28,17.2,22.6
10/2005,23.28,15.76,19.52
11/2005,17.26,10.62,13.94
12/2005,15.28,8.77,12.02
01/2006,13.95,7.1,10.53
02/2006,15.8,7.63,11.71
03/2006,17.95,11.01,14.48
04/2006,21.56,12.94,17.25
05/2006,25.3,14.97,20.13
06/2006,26.27,17.4,21.83
07/2006,29.61,19.25,24.43
08/2006,30.51,19.62,25.06
09/2006,27.58,17.97,22.77
10/2006,23.44,16.54,19.99
11/2006,20.06,13.71,16.88
12/2006,14.96,8.52,11.74
01/2007,14.68,7.9,11.29
02/2007,16.75,9.95,13.35
03/2007,18.68,11.05,14.87
04/2007,20.88,12.17,16.52
05/2007,22.47,13.83,18.15
06/2007,24.3,15.91,20.1
07/2007,28.08,17.87,22.98
08/2007,27.69,17.95,22.82
09/2007,26.93,17.78,22.36
10/2007,24.26,15.63,19.95
11/2007,19.46,11.04,15.25
12/2007,14.99,8.34,11.66
01/2008,17.24,9.94,13.59
02/2008,18.04,10.51,14.28
03/2008,18.29,10.57,14.43
04/2008,21.34,12.68,17.01
05/2008,21.04,13.25,17.14
06/2008,27.83,17,22.41
07/2008,27.61,17.89,22.75
08/2008,27.71,18.02,22.87
09/2008,26.05,17.01,21.53
10/2008,22.83,14.55,18.69
11/2008,17.58,10.06,13.82
12/2008,14.68,8.87,11.78
01/2009,13.74,8.18,10.96
02/2009,17.32,8.86,13.09
03/2009,21.26,12.01,16.64
04/2009,19.56,10.94,15.25
05/2009,24.29,14.55,19.42
06/2009,27.09,18.04,22.57
07/2009,28.13,17.78,22.95
08/2009,29.94,18.95,24.45
09/2009,27.77,17.99,22.88
10/2009,25.74,17.19,21.46
11/2009,19.27,13.03,16.15
12/2009,15.58,9.62,12.6
01/2010,14.99,9.18,12.09
02/2010,14.83,8.4,11.61
03/2010,17.55,10.27,13.91
04/2010,21.49,13.78,17.63
05/2010,22.95,14.18,18.56
06/2010,26.02,16.2,21.11
07/2010,30.91,19.14,25.02
